id;name;city;telephone;num_socios
1;even-keeled Saint Helena Pound;Treutelhaven;(478) 680-9178 x66503;10147
2;invoice Home Gloves;Jeanchester;692-170-2431 x736;74417
3;alarm local area network Benin;Fredyfurt;(225) 993-4896;43439
4;dot-com payment Libyan Dinar;Dietrichberg;1-425-076-0199 x4929;88349
5;back up Factors;West Kattie;599.802.3318 x23413;55680
6;Configuration UIC-Franc;Antoinetteton;669-312-5283;74076
7;Belize Dollar Sudanese Pound real-time;West Raina;828-690-5056 x716;7094
8;extend Unbranded Fresh Pants Tools;Aureliaview;603.415.9285 x802;3734
9;compressing;South Brandy;1-587-229-6408;5168
10;Iran;Maximofurt;1-719-957-3073;27083
