id;ci;name;gender;position;aditional_data;country_id;club_id
1;Industrial;connect Markets Chief;MALE;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;6;4
2;mission-critical Faroe Islands Plastic;Car Industrial deliverables;MALE;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;9;9
3;Highway Ergonomic;moratorium moratorium;MALE;Frozen bus;hard drive Robust Networked;1;6
4;partnerships Grocery Intelligent;Dynamic;MALE;Concrete Investment Account Saint Lucia;User-centric;1;6
5;Chilean Peso Unidades de fomento;Web virtual deposit;MALE;Ghana back-end National;Direct;3;3
6;synergies copying;ability Hat Iraq;MALE;User-centric Gloves;Mauritania;8;5
7;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;FEMALE;Berkshire Small Plastic Pants Investor;Canadian Dollar;6;5
8;Designer Persistent;Handmade 24/7 Re-contextualized;FEMALE;bypassing optical;installation;2;7
9;HDD;Algerian Dinar;FEMALE;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;7;4
10;Concrete Global SMS;Profound;FEMALE;Borders content-based;Tasty Customer Human;7;2
